"Country or Area","Year","Value"
"Cyprus","1994","773.1755828925"
"Cyprus","1993","761.6780691625"
"Cyprus","1992","733.57027363"
"Cyprus","1991","704.35598565"
"Cyprus","1990","693.566622225"
"Czech Republic","2014","13491.7350801132"
"Czech Republic","2013","13435.2557834496"
"Czech Republic","2012","14086.0926559991"
"Czech Republic","2011","14017.0357351339"
"Czech Republic","2010","13992.577303959"
"Czech Republic","2009","13800.6277577976"
"Czech Republic","2008","14227.763705649"
"Czech Republic","2007","13800.5707318147"
"Czech Republic","2006","14265.958595564"
"Czech Republic","2005","14032.8320191286"
"Czech Republic","2004","13662.7252004331"
"Czech Republic","2003","14100.163381463"
"Czech Republic","2002","14091.9237338679"
"Czech Republic","2001","14582.6966713551"
"Czech Republic","2000","14896.9598528393"
"Czech Republic","1999","15771.0192915883"
"Czech Republic","1998","16431.8822443428"
"Czech Republic","1997","17105.0797387672"
"Czech Republic","1996","17564.9120993273"
"Czech Republic","1995","17744.9425854554"
"Czech Republic","1994","18086.8290768361"
"Czech Republic","1993","19226.5899303059"
"Czech Republic","1992","20139.1599524718"
"Czech Republic","1991","21607.1754215005"
"Czech Republic","1990","23315.0467690008"
"Denmark","2014","7362.96580142096"
"Denmark","2013","7380.66591211233"
"Denmark","2012","7484.69780241921"
"Denmark","2011","7642.00247598388"
"Denmark","2010","7786.91504181373"
"Denmark","2009","7736.95119835375"
"Denmark","2008","7888.33361672816"
"Denmark","2007","8033.11864277544"
"Denmark","2006","8038.39858566613"
"Denmark","2005","8148.66665814821"
"Denmark","2004","8392.88343058255"
"Denmark","2003","8547.44503107124"
"Denmark","2002","8534.70873161076"
"Denmark","2001","8611.9154571632"
"Denmark","2000","8355.10829286277"
"Denmark","1999","8465.65156344192"
"Denmark","1998","8572.25402920572"
"Denmark","1997","8506.80196089025"
"Denmark","1996","8608.32097420401"
"Denmark","1995","8497.61328401879"
"Denmark","1994","8437.69390271024"
"Denmark","1993","8570.9152817898"
"Denmark","1992","8364.64610116621"
"Denmark","1991","8279.66224670937"
"Denmark","1990","8082.7076134516"
"Estonia","2014","1102.37331637054"
"Estonia","2013","1132.68979885955"
"Estonia","2012","1143.20507646736"
"Estonia","2011","1134.03455551706"
"Estonia","2010","1182.87076894973"
"Estonia","2009","1168.36839941857"
"Estonia","2008","1213.6813667467"
"Estonia","2007","1223.38046026192"
"Estonia","2006","1192.14620738161"
"Estonia","2005","1209.49974865901"
"Estonia","2004","1247.51885004831"
"Estonia","2003","1233.42072726444"
"Estonia","2002","1229.78306528844"
"Estonia","2001","1278.59546226988"
"Estonia","2000","1237.38661811289"
"Estonia","1999","1197.48060973097"
"Estonia","1998","1280.35522131878"
"Estonia","1997","1318.57002819266"
"Estonia","1996","1265.14393763371"
"Estonia","1995","1246.81186955066"
"Estonia","1994","1287.76549159454"
"Estonia","1993","1349.78969025339"
"Estonia","1992","1585.1281387907"
"Estonia","1991","1825.52131402923"
"Estonia","1990","1912.19338766312"
"European Union","2014","452695.943070072"
"European Union","2013","458525.673635933"
"European Union","2012","469808.637546842"
"European Union","2011","474490.816761964"
"European Union","2010","484704.844801329"
"European Union","2009","495012.880473162"
"European Union","2008","510421.889519788"
"European Union","2007","520923.65690099"
